timestamp,time,total_pnl,unrealized_pnl,position_count
2025-11-04T01:19:38.119912,01:19:38,6895.58,6895.58,3
2025-11-04T01:19:49.679965,01:19:49,6864.3,6864.3,3
2025-11-04T01:20:01.564197,01:20:01,6878.18,6878.18,3
2025-11-04T01:20:13.401742,01:20:13,6889.45,6889.45,3
2025-11-04T01:20:25.514607,01:20:25,6834.28,6834.28,3
2025-11-04T01:20:37.658522,01:20:37,6797.54,6797.54,3
2025-11-04T01:20:49.209621,01:20:49,6750.99,6750.99,3
2025-11-04T01:21:01.062415,01:21:01,6719.05,6719.05,3
2025-11-04T01:21:13.221050,01:21:13,6674.72,6674.72,3
2025-11-04T01:21:25.159144,01:21:25,6679.75,6679.75,3
2025-11-04T01:21:37.311366,01:21:37,6716.94,6716.94,3
2025-11-04T01:21:49.215194,01:21:49,6757.72,6757.72,3
2025-11-04T01:22:01.110900,01:22:01,6757.62,6757.62,3
2025-11-04T01:22:12.664725,01:22:12,6693.0,6693.0,3
2025-11-04T01:22:24.671201,01:22:24,6651.53,6651.53,3
2025-11-04T01:22:36.571088,01:22:36,6642.66,6642.66,3
2025-11-04T01:22:48.459342,01:22:48,6631.73,6631.73,3
2025-11-04T01:23:00.384792,01:23:00,6612.63,6612.63,3
2025-11-04T01:23:12.287261,01:23:12,6720.11,6720.11,3
2025-11-04T01:23:24.239384,01:23:24,6743.69,6743.69,3
2025-11-04T01:23:36.414367,01:23:36,6733.04,6733.04,3
2025-11-04T01:23:48.597636,01:23:48,6752.78,6752.78,3
2025-11-04T01:24:00.476900,01:24:00,6818.73,6818.73,3
2025-11-04T01:24:12.400893,01:24:12,6811.44,6811.44,3
2025-11-04T01:24:24.256945,01:24:24,6803.21,6803.21,3
2025-11-04T01:24:36.116713,01:24:36,6782.96,6782.96,3
2025-11-04T01:24:48.095740,01:24:48,6808.48,6808.48,3
2025-11-04T01:24:59.971590,01:24:59,6832.41,6832.41,3
2025-11-04T01:25:12.120560,01:25:12,6854.92,6854.92,3
2025-11-04T01:25:23.724365,01:25:23,6791.09,6791.09,3
2025-11-04T01:25:35.667358,01:25:35,6743.62,6743.62,3
2025-11-04T01:25:47.544443,01:25:47,6747.6,6747.6,3
2025-11-04T01:25:59.486866,01:25:59,6771.53,6771.53,3
2025-11-04T01:26:11.405736,01:26:11,6730.49,6730.49,3
2025-11-04T01:26:23.247738,01:26:23,6692.01,6692.01,3
2025-11-04T01:26:35.248742,01:26:35,6702.67,6702.67,3
2025-11-04T01:26:47.169381,01:26:47,6807.76,6807.76,3
2025-11-04T01:26:58.780290,01:26:58,6824.05,6824.05,3
2025-11-04T01:27:10.643487,01:27:10,6789.85,6789.85,3
2025-11-04T01:27:22.581075,01:27:22,6811.27,6811.27,3
2025-11-04T01:27:34.452944,01:27:34,6762.52,6762.52,3
2025-11-04T01:27:46.364761,01:27:46,6761.99,6761.99,3
2025-11-04T01:27:58.228575,01:27:58,6744.75,6744.75,3
2025-11-04T01:28:10.391035,01:28:10,6735.47,6735.47,3
2025-11-04T01:28:22.285331,01:28:22,6773.59,6773.59,3
2025-11-04T01:28:34.194846,01:28:34,6739.23,6739.23,3
2025-11-04T01:28:46.336770,01:28:46,6646.23,6646.23,3
2025-11-04T01:28:58.258605,01:28:58,6667.57,6667.57,3
2025-11-04T01:29:10.460822,01:29:10,6660.73,6660.73,3
2025-11-04T01:29:22.440851,01:29:22,6627.36,6627.36,3
2025-11-04T01:29:34.378186,01:29:34,6627.82,6627.82,3
2025-11-04T01:29:46.580316,01:29:46,6633.89,6633.89,3
2025-11-04T01:29:58.509756,01:29:58,6704.44,6704.44,3
2025-11-04T01:30:10.386163,01:30:10,6748.77,6748.77,3
2025-11-04T01:30:22.283419,01:30:22,6788.49,6788.49,3
2025-11-04T01:30:34.170304,01:30:34,6813.07,6813.07,3
2025-11-04T01:30:45.752054,01:30:45,6757.64,6757.64,3
2025-11-04T01:30:57.633575,01:30:57,6818.51,6818.51,3
2025-11-04T01:31:09.551469,01:31:09,6684.32,6684.32,3
2025-11-04T01:31:21.460745,01:31:21,6782.06,6782.06,3
2025-11-04T01:31:33.025951,01:31:33,6779.22,6779.22,3
2025-11-04T01:31:45.210170,01:31:45,6770.92,6770.92,3
2025-11-04T01:31:57.426703,01:31:57,6735.44,6735.44,3
2025-11-04T01:32:09.288778,01:32:09,6658.79,6658.79,3
2025-11-04T01:32:21.449463,01:32:21,6763.99,6763.99,3
2025-11-04T01:32:33.613959,01:32:33,6714.92,6714.92,3
2025-11-04T01:32:45.551910,01:32:45,6691.53,6691.53,3
2025-11-04T01:32:57.404674,01:32:57,6610.67,6610.67,3
2025-11-04T01:33:09.564590,01:33:09,6622.19,6622.19,3
